"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","instrument_id","snr","magsys","origin","altdata","ra","dec","ra_unc","dec_unc","created_at","streams","owner"
127403403,59380.20774309989,17.483381271362305,0.07123886048793791,18.6934746503959,ztfr,ZTF,1,15.240785679635694,ab,None,,178.3592677,10.8965022,,,2021-06-15T05:09:51.059348,kowalski-bot,ZTF Public
127413296,59380.20774309989,17.483381271362305,0.07123886048793793,19.313535690307617,ztfr,ZTF,1,15.240785679635692,ab,None,,178.3592677,10.8965022,,,2021-06-15T05:25:51.207716,ampelbot-jvs,
127472162,59380.24640050018,17.68731689453125,0.153388038277626,18.064723950701286,ztfg,ZTF,1,7.078362934618093,ab,None,,178.3593392,10.896413,,,2021-06-15T06:04:37.599333,kowalski-bot,ZTF Public
127485259,59380.24640050018,17.68731689453125,0.15338803827762604,18.305055618286133,ztfg,ZTF,1,7.0783629346180925,ab,None,,178.3593392,10.896413,,,2021-06-15T06:25:20.964658,ampelbot-jvs,
129831492,59380.24640050018,17.687299728393555,0.15338799357414246,18.064707100991118,ztfg,ZTF,1,7.07836499754019,ab,None,,178.3593392,10.896413,,,2021-06-20T09:43:59.581968,kowalski-bot,ZTF Public
198516002,59381.257845,17.621,0.032,19.45,atlaso,ATLAS,72,33.92925639869154,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804945,mrchu39,
198516003,59381.267216,17.588,0.03300000000000001,19.52,atlaso,ATLAS,72,32.901097113882706,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.804975,mrchu39,
198516004,59381.270448,17.647,0.043,19.48,atlaso,ATLAS,72,25.249679180421616,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805007,mrchu39,
198516005,59381.281269,17.593,0.034,19.46,atlaso,ATLAS,72,31.9334177870038,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805026,mrchu39,
129831493,59385.2156134001,17.45294761657715,0.06136456876993179,18.825039189100764,ztfr,ZTF,1,17.693210048110572,ab,None,,178.3592819,10.8964923,,,2021-06-20T09:43:59.582047,kowalski-bot,ZTF Public
130971884,59385.2156134001,17.452899932861328,0.06136500090360641,18.824983859579994,ztfr,ZTF,1,17.69308545213956,ab,None,,178.3592819,10.8964923,,,2021-06-25T04:52:02.685884,kowalski-bot,ZTF Public
198516006,59387.28594,,,17.65,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805041,mrchu39,
198516007,59387.289611,,,17.61,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805057,mrchu39,
198516008,59387.296539,,,17.63,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805072,mrchu39,
198516009,59387.31211,,,15.84,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805086,mrchu39,
198516010,59388.256118,17.689,0.065,18.98,atlaso,ATLAS,72,16.703633919355838,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805101,mrchu39,
198516011,59388.259803,17.598,0.06199999999999999,18.93,atlaso,ATLAS,72,17.51187427029241,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805115,mrchu39,
198516012,59388.268123,17.551,0.049,19.07,atlaso,ATLAS,72,22.157881729757744,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805129,mrchu39,
198516013,59388.278749,17.597,0.101,18.54,atlaso,ATLAS,72,10.749863413446825,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805144,mrchu39,
198516014,59389.251884,17.669,0.06199999999999999,19.01,atlaso,ATLAS,72,17.51187427029241,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805159,mrchu39,
198516015,59389.2619,17.599,0.049,19.09,atlaso,ATLAS,72,22.157881729757744,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805174,mrchu39,
198516016,59389.265123,17.56,0.05,19.11,atlaso,ATLAS,72,21.714724095162588,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805187,mrchu39,
198516017,59389.274856,17.684,0.055,19.06,atlaso,ATLAS,72,19.740658268329625,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805201,mrchu39,
130971885,59390.19659719989,17.932899475097656,0.06957876682281494,19.168593446002628,ztfg,ZTF,1,15.604418622753105,ab,None,,178.3593094,10.8964922,,,2021-06-25T04:52:02.685988,kowalski-bot,ZTF Public
132405117,59390.19659719989,17.932899475097656,0.06957899779081343,19.16858984188727,ztfg,ZTF,1,15.604366823769915,ab,None,,178.3593094,10.8964922,,,2021-06-30T04:48:29.773080,kowalski-bot,ZTF Public
198516018,59391.254304,17.819,0.077,18.82,atlaso,ATLAS,72,14.10047019166402,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805216,mrchu39,
198516019,59391.258423,17.684,0.066,19.24,atlaso,ATLAS,72,16.450548556941353,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805230,mrchu39,
198516020,59391.280778,17.603,0.043,19.28,atlaso,ATLAS,72,25.249679180421616,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805253,mrchu39,
198516021,59391.290241,17.621,0.064,19.13,atlaso,ATLAS,72,16.96462819934577,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805270,mrchu39,
198516022,59393.288848,17.661,0.036,19.71,atlaso,ATLAS,72,30.159339021059147,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805286,mrchu39,
198516023,59393.29714,17.644,0.03699999999999999,19.73,atlaso,ATLAS,72,29.34422175021972,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805301,mrchu39,
198516024,59393.303158,17.682,0.035,19.68,atlaso,ATLAS,72,31.021034421660836,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805316,mrchu39,
198516025,59393.317109,17.694,0.046,19.64,atlaso,ATLAS,72,23.602960973002812,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805330,mrchu39,
171863209,59395.193946800195,17.82286834716797,0.16273245215415955,18.245031356811523,ztfi,ZTF,1,6.671909569270122,ab,None,,178.3593532,10.8965592,,,2021-10-28T19:58:18.293031,ampelbot-jvs,
198516026,59397.280684,17.632,0.03699999999999999,19.65,atlaso,ATLAS,72,29.34422175021972,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805345,mrchu39,
198516027,59397.284832,17.674,0.035,19.69,atlaso,ATLAS,72,31.021034421660836,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805361,mrchu39,
198516028,59397.291293,17.642,0.033,19.65,atlaso,ATLAS,72,32.901097113882706,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805377,mrchu39,
198516029,59397.304683,17.664,0.036,19.57,atlaso,ATLAS,72,30.15933902105915,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805392,mrchu39,
198516030,59401.256701,17.716,0.043,19.43,atlaso,ATLAS,72,25.249679180421612,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805407,mrchu39,
198516031,59401.262229,17.739,0.03699999999999999,19.62,atlaso,ATLAS,72,29.344221750219713,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805421,mrchu39,
198516032,59401.276511,17.64,0.035,19.7,atlaso,ATLAS,72,31.021034421660836,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805435,mrchu39,
198516033,59401.279738,17.605,0.034,19.67,atlaso,ATLAS,72,31.933417787003805,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805449,mrchu39,
198516034,59403.254399,18.392,0.191,18.43,atlasc,ATLAS,72,5.68448274742476,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805463,mrchu39,
198516035,59403.257607,17.977,0.079,18.87,atlasc,ATLAS,72,13.74349626276113,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805478,mrchu39,
198516036,59403.265394,17.984,0.061,19.34,atlasc,ATLAS,72,17.798954176362777,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805492,mrchu39,
198516037,59403.275952,18.062,0.063,19.4,atlasc,ATLAS,72,17.233908012033798,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805505,mrchu39,
198516038,59417.246256,,,17.19,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805521,mrchu39,
198516039,59417.246717,17.304,0.183,17.24,atlaso,ATLAS,72,5.93298472545426,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805536,mrchu39,
198516040,59417.25363,,,13.52,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805551,mrchu39,
198516041,59417.26607,,,17.35,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805564,mrchu39,
198516042,59418.251502,,,17.91,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805578,mrchu39,
198516043,59418.255174,,,18.18,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805592,mrchu39,
198516044,59418.261604,,,18.21,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805607,mrchu39,
198516045,59418.27262,,,18.15,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805622,mrchu39,
198516046,59425.243739,,,17.81,atlasc,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805636,mrchu39,
198516047,59425.24696,18.294,0.12,18.54,atlasc,ATLAS,72,9.047801706317745,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.805650,mrchu39,
171725900,59512.53501159977,17.947300199983854,0.07704100012779236,19.072381208925464,ztfr,ZTF,1,14.092966121378954,ab,None,,178.3593258,10.8964769,,,2021-10-25T13:05:00.884526,kowalski-bot,ZTF Public
171863210,59512.53501159977,17.94729995727539,0.07704100012779236,19.31879997253418,ztfr,ZTF,1,14.092966121378954,ab,None,,178.3593258,10.8964769,,,2021-10-28T19:58:18.293128,ampelbot-jvs,
171725667,59512.53501159977,17.947296617641427,0.07704064995050429,19.07238256163091,ztfr,ZTF,1,14.093030178946748,ab,None,,178.3593258,10.8964769,,,2021-10-25T13:01:46.900946,kowalski-bot,ZTF Public
171725901,59512.53939810023,17.9259319310742,0.07427195459604263,19.090755586958466,ztfr,ZTF,1,14.618387393509902,ab,None,,178.359288,10.8964827,,,2021-10-25T13:05:00.884606,kowalski-bot,ZTF Public
171726624,59512.53939810023,17.925899778356758,0.0742719992995262,19.09072278074838,ztfr,ZTF,1,14.618378594866444,ab,None,,178.359288,10.8964827,,,2021-10-25T13:08:45.977589,kowalski-bot,ZTF Public
171863211,59512.53939810023,17.925899505615234,0.07427199929952621,19.1028995513916,ztfr,ZTF,1,14.618378594866444,ab,None,,178.359288,10.8964827,,,2021-10-28T19:58:18.293154,ampelbot-jvs,
171726625,59512.541840299964,18.022236346763727,0.10056290775537491,18.85802757987196,ztfr,ZTF,1,10.796587220799596,ab,None,,178.3593322,10.896487,,,2021-10-25T13:08:45.977666,kowalski-bot,ZTF Public
171728352,59512.541840299964,18.022200030867403,0.10056299716234206,18.857990298685944,ztfr,ZTF,1,10.796577621939715,ab,None,,178.3593322,10.896487,,,2021-10-25T13:14:31.217500,kowalski-bot,ZTF Public
171863212,59512.541840299964,18.022199630737305,0.10056299716234207,18.898500442504883,ztfr,ZTF,1,10.796577621939713,ab,None,,178.3593322,10.896487,,,2021-10-28T19:58:18.293174,ampelbot-jvs,
